location,location_id,gtfs_stop_name,stop_lat,stop_lon,match_type,route
BATHURST STATION AND WILSON,188,Bathurst St at Wilson Ave South Side,43.736782,-79.43401,MATCHED_INTERSECTION,7
BATHURST AND FINCH STATION,212,Bathurst St at Finch Ave West,43.773623,-79.44272,MATCHED_INTERSECTION,7
BAY AND FRONT,213,Bay St at Front St West South Side - Union Station,43.645484,-79.378997,MATCHED_STOP_ONLY,7
EGLINTON AND YONGE,216,Eglinton Ave W at Yonge St,43.706643,-79.398574,MATCHED_STOP_ONLY,7
BATHURST AND LAWRENCE STATION,220,Bathurst St at Lawrence Ave West South Side,43.718829,-79.429826,MATCHED_INTERSECTION,7
STEELES LOOP,221,Rouge Hill Go Station Loop at Lawrence Ave East,43.780719,-79.130474,MATCHED_FACILITY,7
QUEEN STATION QUAY AND YONGE,222,Yonge St at Queen St West - Queen Station,43.65251,-79.379408,MATCHED_STOP_ONLY,7
WILSON STATION GARAGE,226,Wilson,43.734547,-79.45079,MATCHED_FACILITY,7
DON MILLS STATION,227,Don Mills,43.775547,-79.346588,MATCHED_FACILITY,7
BATHURST STATION AND FINCH,230,Bathurst St at Finch Ave West,43.773623,-79.44272,MATCHED_INTERSECTION,7
YONGE,258,,,,NO_STREET_MATCH,7
BATHURST AND WILSON STATION,285,Bathurst St at Wilson Ave South Side,43.736782,-79.43401,MATCHED_INTERSECTION,7
O CONNOR AND ST CLAIR,286,,,,NO_STREET_MATCH,7
STEELES LOOP AND YONGE,287,Yonge St at Steeles Ave West South Side,43.79729,-79.42005,MATCHED_STOP_ONLY,7
WILLIAM CARS AND YONGE,290,Yonge St at William Carson Cres,43.74741,-79.40767,MATCHED_STOP_ONLY,7
BATHURST AND GLENCAIRN STATION,292,Bathurst St at Glencairn Ave,43.712484,-79.428276,MATCHED_INTERSECTION,7
BATHURST AND DUPONT STATION,302,Bathurst St at Dupont St,43.673241,-79.414496,MATCHED_INTERSECTION,7
ARROW AND FINCH STATION,303,Arrow Rd at Finch Ave West,43.753006,-79.535911,MATCHED_STOP_ONLY,7
DUNDAS STATION AND YONGE,321,Dundas St West at Yonge St - Dundas Station,43.65619,-79.38119,MATCHED_STOP_ONLY,7
TRANSIT AND WILSON STATION,336,Transit Rd at Wilson Ave North Side,43.734708,-79.45215,MATCHED_STOP_ONLY,7
UNKNOWN,344,,,,NO_STREET_MATCH,7
ELLESMERE AND MILITARY,347,Ellesmere Rd at Military Trail (East),43.786439,-79.188422,MATCHED_STOP_ONLY,7
ST CLAIR STATION W STATION,350,St Clair,43.687748,-79.392586,MATCHED_FACILITY,7
BAY STATION AND FRONT,368,Bay St at Front St West South Side - Union Station,43.645484,-79.378997,MATCHED_STOP_ONLY,7
FINCH AND SENTINEL,370,Sentinel Rd at Finch Ave West,43.761193,-79.500227,MATCHED_STOP_ONLY,7
BATHURST STATION AND GREENWIN,375,Greenwin Village Rd at Bathurst St,43.790855,-79.444642,MATCHED_INTERSECTION,7
LANSDOWNE AND ST CLAIR STATION,379,,,,NO_STREET_MATCH,7
BATHURST STATION,385,Bathurst,43.666447,-79.411186,MATCHED_FACILITY,7
FINCH STATION AND YONGE,389,Finch Ave West at Yonge St - Finch Station,43.779444,-79.416584,MATCHED_STOP_ONLY,7
BATHURST AND COVINGTON,404,Bathurst St at Covington Rd,43.721136,-79.430335,MATCHED_INTERSECTION,7
ST CLAIR AND WELLAND,411,,,,NO_STREET_MATCH,7
ALLINGHAM AND BATHURST,443,,,,NO_STREET_MATCH,7
BATHURST STATION AND STEELES,476,Steeles Ave West at Bathurst St East Side,43.792559,-79.444561,MATCHED_INTERSECTION,7
GREENWIN VILLAGE AND R,493,,,,NO_STREET_MATCH,7
EGLINTON AND PHARMACY,530,Pharmacy Ave at Eglinton Ave East,43.726007,-79.297712,MATCHED_STOP_ONLY,7
BATHURST AND GREENWIN,536,Greenwin Village Rd at Bathurst St,43.790855,-79.444642,MATCHED_INTERSECTION,7
BATHURST AND SOUTHBOUR,551,Bathurst St at Southbourne Ave,43.738382,-79.434132,MATCHED_INTERSECTION,7
BATHURST AND ROSELAWN,626,Bathurst St at Roselawn Ave,43.705064,-79.426195,MATCHED_INTERSECTION,7
HILDA AND STEELES,628,Steeles Ave West at Hilda Ave,43.796207,-79.42907,MATCHED_STOP_ONLY,7
BATHURST AND VIEWMOUNT,644,Bathurst St at Viewmount Ave South Side,43.710114,-79.42769,MATCHED_INTERSECTION,7
BATHURST AND CEDARCROF,656,Bathurst St at Cedarcroft Blvd South Side,43.783511,-79.445589,MATCHED_INTERSECTION,7
FINCH STATION AND MORNINGSIDE,667,Morningside Ave at Finch Ave East,43.819532,-79.221383,MATCHED_STOP_ONLY,7
EXHIBITION LOOP,675,Exhibition Loop,43.635874,-79.417054,MATCHED_FACILITY,7
BATHURST AND GLENGROVE,689,Bathurst St at Glengrove Ave,43.714354,-79.428702,MATCHED_INTERSECTION,7
BATHURST AND BAYCREST,693,Bathurst St at Baycrest Ave,43.729709,-79.43227,MATCHED_INTERSECTION,7
B AND GREENWIN VILLAGE,703,,,,NO_STREET_MATCH,7
SHEPPARD AND YONGE,704,Yonge St at Sheppard Ave West - Sheppard Station,43.761686,-79.411123,MATCHED_STOP_ONLY,7
BATHURST STATION AND ST CLAIR,731,Bathurst Street at St Clair Avenue West,43.682754,-79.41807,MATCHED_INTERSECTION,7
SHEPPARD AND WILSON STATION HE,773,,,,NO_STREET_MATCH,7
MARKHAM AND MILNER,774,Markham Rd at Milner Ave,43.789364,-79.236737,MATCHED_STOP_ONLY,7
DUFFERIN AND ROWAN,776,Dufferin St at Rowan Ave,43.692029,-79.448632,MATCHED_STOP_ONLY,7
WILSON STATION DIVISION,806,Wilson,43.734547,-79.45079,MATCHED_FACILITY,7
BATHURST AND MELROSE,828,Bathurst St at Melrose Ave,43.727244,-79.431501,MATCHED_INTERSECTION,7
BATHURST AND SHERBOURNE STATION,864,,,,NO_STREET_MATCH,7
BATHURST AND YORKVIEW,872,Bathurst St at Yorkview Dr,43.772251,-79.442408,MATCHED_INTERSECTION,7
BATHURST AND FISHERVIL,890,Bathurst St at Fisherville Rd,43.790264,-79.445803,MATCHED_INTERSECTION,7
LONG BRANCH LOOP,908,Long Branch Loop,43.592111,-79.5437,MATCHED_FACILITY,7
BATHURST STATION AND EGLINTON,913,Bathurst St at Eglinton Ave West,43.701109,-79.425692,MATCHED_INTERSECTION,7
DUFFERIN STATION AND STEELES,918,Steeles Ave West at Dufferin St East Side,43.787239,-79.469563,MATCHED_STOP_ONLY,7
BATHURST AND ST CLAIR STATION,938,Bathurst Street at St Clair Avenue West,43.682754,-79.41807,MATCHED_INTERSECTION,7
BATHURST AND COVINGSTO,942,Bathurst St at Covington Rd,43.721136,-79.430335,MATCHED_ROUTE,7
BATHURST AND EGLINTON,957,Bathurst St at Eglinton Ave West,43.701109,-79.425692,MATCHED_INTERSECTION,7
DUFFERIN AND STEELES,985,Steeles Ave West at Dufferin St East Side,43.787239,-79.469563,MATCHED_STOP_ONLY,7
BATHURST STATION AND FISHERVILLE,995,Bathurst St at Fisherville Rd,43.790264,-79.445803,MATCHED_INTERSECTION,7
ANTIBES AND BATHURST,996,Bathurst St at Antibes Dr,43.781233,-79.445042,MATCHED_INTERSECTION,7
TRANSIT ROAD AND WILSON,1028,Transit Rd at Wilson Ave North Side,43.734708,-79.45215,MATCHED_STOP_ONLY,7
DUFFERIN STATION,1035,Dufferin,43.660198,-79.435478,MATCHED_FACILITY,7
BATHURST AND QUEEN STATION,1089,Bathurst St at Queen St West,43.647375,-79.404131,MATCHED_STOP_ONLY,7
DUFFERIN AND DUPONT STATION,1094,Dufferin St at Dupont St,43.668259,-79.438833,MATCHED_STOP_ONLY,7
FINCH STATION AND JANE,1119,Jane and Finch Station - Eastbound Platform,43.757205,-79.517421,MATCHED_STOP_ONLY,7
LAWRENCE STATION AND MORNINGSIDE,1124,Lawrence Ave East at Morningside Ave,43.768579,-79.185862,MATCHED_STOP_ONLY,7
LAKESHORE AND STRACHAN,1146,,,,NO_STREET_MATCH,7
DON MILLS AND EGLINTON,1164,Don Mills Rd at Eglinton Ave East,43.720271,-79.338737,MATCHED_STOP_ONLY,7
BATHURST AND VAUGHAN R,1166,,,,NO_STREET_MATCH,7
CARPENTER AND STEELES,1177,Carpenter Rd at Steeles Ave West,43.79187,-79.447447,MATCHED_INTERSECTION,7
TRANSIT,1193,,,,NO_STREET_MATCH,7
BATHURST AND MARKDALE,1236,,,,NO_STREET_MATCH,7
BATHURST AND TIMBERLAN,1265,Bathurst St at Timberlane Dr,43.74881,-79.436735,MATCHED_INTERSECTION,7
E AND GREENWIN VILLAGE,1273,,,,NO_STREET_MATCH,7
WELLINGTON AND YONGE,1278,Yonge St at Wellington St West,43.648025,-79.377521,MATCHED_STOP_ONLY,7
ST GEORGE STATION,1346,St George,43.668846,-79.398087,MATCHED_FACILITY,7
BATHURST AND WOBURN,1381,Bathurst St at Woburn Ave,43.722434,-79.430385,MATCHED_INTERSECTION,7
BATHURST AND TICHESTER,1412,Bathurst St at Tichester Rd South Side,43.685088,-79.41918,MATCHED_INTERSECTION,7
BATHURST AND JOICEY BL,1418,Bathurst St at Joicey Blvd,43.733827,-79.433052,MATCHED_ROUTE,7
CRAIGTON AND PHARMACY,1431,Craigton Dr at Pharmacy Ave,43.727075,-79.298426,MATCHED_STOP_ONLY,7
BATHURST AND PATRICIA,1435,Bathurst St at Patricia Ave North Side,43.78418,-79.44541,MATCHED_INTERSECTION,7
WILSON AND,1468,,,,NO_STREET_MATCH,7
BATHU AND VILLAGE GATE,1472,,,,NO_STREET_MATCH,7
WILSON AND WILSON STATION HEIG,1497,Bathurst St at Wilson Ave South Side,43.736782,-79.43401,MATCHED_ROUTE,7
BATHURST AND NINA,1598,Bathurst St at Nina St,43.679716,-79.416855,MATCHED_INTERSECTION,7
BATHURST AND FAIRLAWN,1606,Bathurst St at Fairlawn Ave,43.724694,-79.430905,MATCHED_INTERSECTION,7
BATHURST AND BRIAR HIL,1607,Bathurst St at Briar Hill Ave,43.708018,-79.427207,MATCHED_INTERSECTION,7
BAINBRIDG AND BATHURST,1634,Bathurst St at Bainbridge Ave,43.750654,-79.437155,MATCHED_INTERSECTION,7
BATHURST AND HEATHDALE,1652,,,,NO_STREET_MATCH,7
BATHURST AND CODSELL,1663,Bathurst St at Codsell Ave,43.758401,-79.43901,MATCHED_INTERSECTION,7
BATHURST STATION AND SHEPPARD,1675,Bathurst St at Sheppard Ave West,43.755214,-79.43823,MATCHED_INTERSECTION,7
BATHURST AND RIDGE HIL,1697,Bathurst St at Ridge Hill Dr,43.703452,-79.426013,MATCHED_INTERSECTION,7
FAYWOOD AND WILSON,1702,Wilson Ave at Faywood Blvd East Side,43.734763,-79.445833,MATCHED_STOP_ONLY,7
BARTON AND BATHURST,1716,Bathurst St at Barton Ave,43.668015,-79.412233,MATCHED_INTERSECTION,7
DANFORTH AND EGLINTON,1760,Eglinton Ave East at Danforth Rd,43.737338,-79.245756,MATCHED_STOP_ONLY,7
BATHURST AND STEELES,1773,Steeles Ave West at Bathurst St East Side,43.792559,-79.444561,MATCHED_INTERSECTION,7
BATHURST AND DEWBOURNE,1786,,,,NO_STREET_MATCH,7
BATHURST AND DON LAKE,1788,,,,NO_STREET_MATCH,7
BATHURST AND STRATHEAR,1837,Bathurst St at Strathearn Rd,43.692041,-79.422014,MATCHED_INTERSECTION,7
BATHURST AND GREEN VIL,1839,Greenwin Village Rd at Bathurst St,43.790855,-79.444642,MATCHED_INTERSECTION,7
KIPLING AND NORSEMAN,1894,Kipling Ave at Norseman St,43.631305,-79.530804,MATCHED_STOP_ONLY,7
BATHURST AND CARIBOU,1924,Bathurst St at Caribou Rd,43.71753,-79.429252,MATCHED_INTERSECTION,7
ENTIRE ROUTE,1936,,,,NO_STREET_MATCH,7
HOTSPUR AND NEPTUNE,2009,Hotspur Rd at Neptune Dr,43.732503,-79.435594,MATCHED_STOP_ONLY,7
BATHURST AND PRINCE CH,2047,Bathurst St at Prince Charles Dr South Side,43.724518,-79.431077,MATCHED_INTERSECTION,7
BATHURST AND OLIVE,2064,Bathurst St at Olive Ave,43.670382,-79.413366,MATCHED_INTERSECTION,7
BATHURST AND WELLS,2144,Bathurst St at Wells St,43.670003,-79.413019,MATCHED_INTERSECTION,7
LORD SEATON AND YONGE,2188,Yonge St at Lord Seaton Rd South Side,43.752127,-79.408292,MATCHED_STOP_ONLY,7
BATHURST AND BRIDGEMAN,2203,Bathurst St at Bridgman Ave,43.674989,-79.414992,MATCHED_ROUTE,7
BATHURST AND HORSHAM,2204,Bathurst St at Horsham Ave,43.768449,-79.441504,MATCHED_INTERSECTION,7
STEELES AND VILLAGE GATE,2222,Village Gate at Steeles Ave West,43.792558,-79.440731,MATCHED_INTERSECTION,7
BATHURST STATION AND DUPONT,2252,Bathurst St at Dupont St,43.673241,-79.414496,MATCHED_INTERSECTION,7
AVA AND BATHURST,2277,Bathurst St at Ava Rd,43.69802,-79.42445,MATCHED_INTERSECTION,7
BANNOCKBU AND BATHURST,2304,Bathurst St at Bannockburn Ave,43.731194,-79.43241,MATCHED_INTERSECTION,7
STEELES AND VILLAGE GA,2334,Village Gate at Steeles Ave West,43.792558,-79.440731,MATCHED_INTERSECTION,7
BLOOR,2338,,,,NO_STREET_MATCH,7
ARDMORE AND BATHURST,2397,,,,NO_STREET_MATCH,7
GREENWIN VILLAGE AND V,2402,,,,NO_STREET_MATCH,7
BATHURST AND DANBY,2413,Bathurst St at Danby Ave,43.749183,-79.437058,MATCHED_INTERSECTION,7
EGLINTON AND WESTOVER,2422,,,,NO_STREET_MATCH,7
BATHURST AND HILLHURST,2439,,,,NO_STREET_MATCH,7
MIDLAND AND MIDWEST,2452,Midland Ave at Midwest Rd (North),43.765681,-79.270348,MATCHED_STOP_ONLY,7
BATHURST AND HOTSPUR,2519,Hotspur Rd at Bathurst St West Side,43.733132,-79.433574,MATCHED_STOP_ONLY,7
CARLAW AND GERRARD,2561,Carlaw Ave at Gerrard St East,43.667707,-79.342879,MATCHED_STOP_ONLY,7
BATHURST AND DELAWARE,2599,,,,NO_STREET_MATCH,7
CHESTWOOD AND STEEPROC,2624,,,,NO_STREET_MATCH,7
MARLEE,2636,,,,NO_STREET_MATCH,7
BATHURST STATION AND BLOOR,2693,Bloor St West at Bathurst St,43.665214,-79.411078,MATCHED_STOP_ONLY,7
BATHURST AND VESTA,2707,Bathurst St at Vesta Dr,43.703148,-79.425728,MATCHED_INTERSECTION,7
QUEEN STATION S QUAY AND YONGE,2769,Yonge St at Queen St West - Queen Station,43.65251,-79.379408,MATCHED_STOP_ONLY,7
BATHURST AND NEPTUNE,2789,Bathurst St at Neptune Dr,43.731615,-79.432722,MATCHED_INTERSECTION,7
MANITOBA AND NOVA SCOT,2818,,,,NO_STREET_MATCH,7
BATHURST AND MASCOT,2861,Bathurst St at Mascot Pl,43.770483,-79.44229,MATCHED_INTERSECTION,7
BATHURST AND CODSELL A,2866,Bathurst St at Codsell Ave,43.758401,-79.43901,MATCHED_INTERSECTION,7
O CO AND VICTORIA PARK,2903,,,,NO_STREET_MATCH,7
BATHURST AND BLUE FLAG,2926,Bathurst St at Blue Flag Gate,43.768648,-79.441865,MATCHED_INTERSECTION,7
GREENWIN VILLAGE,3001,,,,NO_STREET_MATCH,7
BATHURST AND KING STATION,3013,King St West at Bathurst St,43.644142,-79.40189,MATCHED_STOP_ONLY,7
BATHURST AND BAYCRST,3027,Bathurst St at Baycrest Ave,43.729709,-79.43227,MATCHED_ROUTE,7
BATHURST AND VAUGHAN,3039,,,,NO_STREET_MATCH,7
BATHURST AND DEWBORNE,3177,,,,NO_STREET_MATCH,7
BATHURST AND LAURELCRE,3289,Bathurst St at Laurelcrest Ave,43.74451,-79.435903,MATCHED_INTERSECTION,7
NORTHCLIF AND ST CLAIR,3298,,,,NO_STREET_MATCH,7
BATHURST AND STAFFORD,3315,Bathurst St at Stafford Rd,43.7703,-79.441951,MATCHED_INTERSECTION,7
DELORAINE AND YONGE,3341,,,,NO_STREET_MATCH,7
BATHURST AND RANEE,3342,Bathurst St at Ranee Ave,43.72707,-79.431662,MATCHED_INTERSECTION,7
FINCH AND SENLAC,3351,Finch Ave West at Senlac Rd,43.776326,-79.430344,MATCHED_STOP_ONLY,7
BATHURST AND MASCOT PL,3381,Bathurst St at Mascot Pl,43.770483,-79.44229,MATCHED_INTERSECTION,7
FINCH AND GOLDFINCH,3389,,,,NO_STREET_MATCH,7
BALMORAL AND YONGE,3406,Yonge St at Balmoral Ave,43.68595,-79.393304,MATCHED_STOP_ONLY,7
RICHMOND AND YONGE,3408,Yonge St at Richmond St West,43.651769,-79.379085,MATCHED_STOP_ONLY,7
EGLINTON AND VICTORIA,3448,,,,NO_STREET_MATCH,7
ARROW,3498,,,,NO_STREET_MATCH,7
MERTON AND YONGE,3524,Yonge St at Merton St,43.696227,-79.396296,MATCHED_STOP_ONLY,7
BATHURST STATION AND DAVENPORT,3540,Bathurst St at Davenport Rd,43.677048,-79.415789,MATCHED_INTERSECTION,7
BATHURST AND STRATHALL,3543,,,,NO_STREET_MATCH,7
BATHURST STATION AND DON LAKE,3572,,,,NO_STREET_MATCH,7
ALCINA AND BATHURST,3685,Bathurst St at Alcina Ave,43.680169,-79.417216,MATCHED_INTERSECTION,7
BATHURST AND YORK DOWN,3698,Bathurst St at York Downs Dr,43.747065,-79.436285,MATCHED_INTERSECTION,7
BATHURST AND CARPENTER,3724,,,,NO_STREET_MATCH,7
STEELES AND TANGREEN,3774,Steeles Ave West at Tangreen Crt,43.796484,-79.42658,MATCHED_STOP_ONLY,7
BATHURST STATION AND GLENCAIRN,3808,Bathurst St at Glencairn Ave,43.712484,-79.428276,MATCHED_INTERSECTION,7
BATHURST AND ELM RIDGE,3826,Bathurst St at Elm Ridge Dr,43.705395,-79.426541,MATCHED_INTERSECTION,7
BATHURST AND INVERMAY,3853,Bathurst St at Invermay Ave,43.741398,-79.434877,MATCHED_INTERSECTION,7
UNION STATION,3860,1 Front St West - Union Station,43.646205,-79.377816,MATCHED_FACILITY,7
HARBOUR AND YONGE,3879,,,,NO_STREET_MATCH,7
B AND GREENWIL VILLAGE,3911,,,,NO_STREET_MATCH,7
BATHURST AND FOREST RI,3955,,,,NO_STREET_MATCH,7
BATHURST AND BURNSIDE,3968,,,,NO_STREET_MATCH,7
BATHURST AND REINER,4037,Bathurst St at Reiner Rd,43.752651,-79.437863,MATCHED_INTERSECTION,7
BATHURST STATION SHEPPARD,4062,Bathurst,43.666447,-79.411186,MATCHED_FACILITY,7
BATHURST AND ST LAWRE,4098,,,,NO_STREET_MATCH,7
BATHURST STATION AND MARQUETTE,4108,Bathurst St at Marquette Ave,43.734195,-79.433342,MATCHED_INTERSECTION,7
GREEN AND VILLAGE GATE,4110,,,,NO_STREET_MATCH,7
COMMISIONERS AND SAULT,4125,,,,NO_STREET_MATCH,7
BATHURST AND DELL PARK,4127,Bathurst St at Dell Park Ave South Side,43.717295,-79.429418,MATCHED_INTERSECTION,7
BATHURST AND BRENTHALL,4192,,,,NO_STREET_MATCH,7
BATHURST AND ELDERWOOD,4506,Bathurst St at Elderwood Dr,43.695157,-79.423089,MATCHED_INTERSECTION,7
BURNSIDE,4523,,,,NO_STREET_MATCH,7
BATHURST AND ROCKFORD,4537,Bathurst St at Rockford Rd,43.785936,-79.446214,MATCHED_INTERSECTION,7
BATHURST AND LONSDALE,4550,Bathurst St at Lonsdale Rd,43.68686,-79.419702,MATCHED_INTERSECTION,7
GREENWIN VILLAGE AND S,4556,,,,NO_STREET_MATCH,7
BATHURST AND DELHI,4591,,,,NO_STREET_MATCH,7
BATHURST AND FARRELL,4651,,,,NO_STREET_MATCH,7
INDUSTRY,4693,,,,NO_STREET_MATCH,7
CHERRY AND LAKESHORE,4765,,,,NO_STREET_MATCH,7
STEELES,4886,,,,NO_STREET_MATCH,7
GREENWIIN VILLAGE,4920,,,,NO_STREET_MATCH,7
BATHURST AND DEWLANE,5008,Bathurst St at Dewlane Dr,43.78586,-79.445832,MATCHED_INTERSECTION,7
BATHURST STATION ROUTE,5023,Bathurst,43.666447,-79.411186,MATCHED_FACILITY,7
KING STATION HIGH A AND WILSON,5039,,,,NO_STREET_MATCH,7
FLEET AND FORT YORK,5060,,,,NO_STREET_MATCH,7
BATHURST AND CLAXTON,5076,Bathurst St at Claxton Blvd South Side,43.686625,-79.419824,MATCHED_INTERSECTION,7
BATHURST AND RAEBURN,5144,Bathurst St at Raeburn Ave,43.744162,-79.435564,MATCHED_INTERSECTION,7
MALVERN DIVISION,5148,,,,NO_STREET_MATCH,7
CARPEN AND FISHERVILLE,5253,,,,NO_STREET_MATCH,7
BATHURST AND GREEN WIN,5275,,,,NO_STREET_MATCH,7
OV AND WILLIAM R ALLEN,5339,,,,NO_STREET_MATCH,7
BATHURST AND LYTTON,5346,Bathurst St at Lytton Blvd,43.71038,-79.427532,MATCHED_INTERSECTION,7
BATHURST STATION AND SHALLMAR,5402,,,,NO_STREET_MATCH,7
BATHURST AND CANYON,5500,,,,NO_STREET_MATCH,7
BATHURST AND MONTCLAIR,5501,,,,NO_STREET_MATCH,7
BATHURST AND CRANBROOK,5505,,,,NO_STREET_MATCH,7
BATHURST AND CHARLESWO,5664,,,,NO_STREET_MATCH,7
BATHURST AND MCALLISTE,5690,Bathurst St at Mcallister Rd North Side,43.753514,-79.437841,MATCHED_INTERSECTION,7
CONLEY AND STEELES,5721,Steeles Ave West at Conley St,43.788864,-79.462964,MATCHED_STOP_ONLY,7
BATHURST STATION WILSON STATION,5831,Bathurst,43.666447,-79.411186,MATCHED_FACILITY,7
BATHURST AND ELLERSLIE,5973,Bathurst St at Ellerslie Ave North Side,43.765906,-79.440833,MATCHED_INTERSECTION,7
BA AND GREEWIN VILLAGE,6100,,,,NO_STREET_MATCH,7
GREENWIN VILLAGE AN,6111,,,,NO_STREET_MATCH,7
HIDDEN TRA AND STEELES,6129,Steeles Ave West at Hidden Trail,43.788495,-79.463345,MATCHED_STOP_ONLY,7
BATHURST AND BROOKE,6135,,,,NO_STREET_MATCH,7
BATHURST AND MARQUETT,6148,Bathurst St at Marquette Ave,43.734195,-79.433342,MATCHED_INTERSECTION,7
BRIMLEY AND PORT ROYAL,6284,Brimley Rd at Port Royal Trail (South),43.821421,-79.284532,MATCHED_STOP_ONLY,7
ALEXIS AND HAMMELL,6379,,,,NO_STREET_MATCH,7
BATHURST AND RAEBURN A,6425,Bathurst St at Raeburn Ave,43.744162,-79.435564,MATCHED_INTERSECTION,7
BATHURST AND DUNBLAINE,6541,,,,NO_STREET_MATCH,7
BATHURST AND COLDSTREA,6620,,,,NO_STREET_MATCH,7
BAT AND EGLINTON W,6653,Bathurst St at Eglinton Ave West,43.701109,-79.425692,MATCHED_INTERSECTION,7
BATHURST AND LONSMOUNT,6744,,,,NO_STREET_MATCH,7
GREEWIN VILLAGE GATE A,6773,,,,NO_STREET_MATCH,7
BATHURST AND LONDON,6828,Bathurst St at London St,43.666687,-79.411723,MATCHED_STOP_ONLY,7
BATHURST AND WARWICK,6864,Bathurst St at Warwick Ave,43.695352,-79.423363,MATCHED_INTERSECTION,7
BATHURST AND BRIDGMAN,6875,Bathurst St at Bridgman Ave,43.674989,-79.414992,MATCHED_INTERSECTION,7
BATHURST AND HILLCREST,6988,,,,NO_STREET_MATCH,7
BATHURST STATION AND FINCH STATION W,6998,Bathurst St at Finch Ave West,43.773623,-79.44272,MATCHED_INTERSECTION,7
BATHURST AND DOUGLAS,7069,Bathurst St at Douglas Ave,43.720714,-79.429983,MATCHED_INTERSECTION,7
BATHURST AND SARNAC,7089,Bathurst St at Saranac Blvd,43.723161,-79.430751,MATCHED_ROUTE,7
BATHURST AND MARQUETTE,7279,Bathurst St at Marquette Ave,43.734195,-79.433342,MATCHED_INTERSECTION,7
MONTCLAIR,7345,,,,NO_STREET_MATCH,7
GREENWIN AND REGATTA C,7429,Greenwin Village Rd at Regatta Cres,43.791195,-79.442929,MATCHED_INTERSECTION,7
BATHURST STATION GR,7455,Bathurst,43.666447,-79.411186,MATCHED_FACILITY,7
BATHURST AND STRAFFORD,7515,Bathurst St at Stafford Rd,43.7703,-79.441951,MATCHED_ROUTE,7
BATHURST AND LYTTON BL,7545,Bathurst St at Lytton Blvd,43.71038,-79.427532,MATCHED_ROUTE,7
COLLEGE AND HENRY,7561,,,,NO_STREET_MATCH,7
SPADINA AND WASHINGTON,7580,,,,NO_STREET_MATCH,7
BATHURST AND BEDFORD P,7620,,,,NO_STREET_MATCH,7
A AND BATHURST,7651,,,,NO_STREET_MATCH,7
BATHURST AND GREENVIN,7679,,,,NO_STREET_MATCH,7
AVA ROADS AND BATHURST,7774,Bathurst St at Ava Rd,43.69802,-79.42445,MATCHED_ROUTE,7
BATHURST AND CLAIR,7815,Bathurst Street at St Clair Avenue West,43.682754,-79.41807,MATCHED_INTERSECTION,7
