location,location_id,gtfs_stop_name,stop_lat,stop_lon,match_type
BATHURST AND BLOOR,43,Bathurst St at Bloor St West,43.665235,-79.411347,intersection_exact
BATHURST AND BURTON,44,Bathurst St at Burton Rd,43.691765,-79.421687,intersection_exact
WELLESLEY STATION,45,Wellesley Station at Bus Bay 2,43.665306,-79.383605,fuzzy_95
BATHURST AND SHEPPARD,46,Bathurst St at Sheppard Ave West,43.755643,-79.438674,intersection_exact
ISLINGTON STATION,47,Islington,43.645149,-79.524193,exact
MAIN STREET STATION,48,Main Street,43.68895,-79.301582,exact
SCARBOROUGH CENTRE STATION,49,Scarborough Centre Station at Bus Bay 4,43.774515,-79.257894,fuzzy_95
CASTLE FRANK STATION,50,Castle Frank Station at Bus Bay 2,43.673628,-79.36885,fuzzy_95
DUNDAS AND SHORNCLIFFE,51,Shorncliffe Rd at Dundas St West,43.631979,-79.544419,intersection_exact
DONLANDS STATION,52,Pape Ave at Donlands Ave,43.696916,-79.349173,fuzzy_90
VICTORIA PARK STATION,53,Victoria Park Station at Bus Bay 4,43.694329,-79.288637,fuzzy_95
SPRINGHURST LOOP,54,Dufferin St at Springhurst Ave,43.635014,-79.425934,fuzzy_90
STEELES AND VICTORIA PARK,55,Steeles Ave East at Victoria Park Ave,43.815376,-79.341773,intersection_exact
LOWER AND QUEEN STATION QUAY,56,,,,unmatched
COMMISSIONERS AND SAUL,57,Commissioners St at Bouchette St East Side,43.650779,-79.339548,fuzzy_86
HALFWA AND MORNINGSIDE,58,Morningside Ave at Sewells Rd North Side,43.816633,-79.21143,fuzzy_86
LIPTON AND PAPE,59,Pape Ave at Lipton Ave,43.679709,-79.345236,intersection_exact
BERTRAN AND BIRCHMOUNT,60,Finch Ave East at Birchmount Rd,43.799172,-79.305756,fuzzy_86
FOUR WINDS D AND KEELE,61,Keele St at Four Winds Dr,43.765884,-79.491793,fuzzy_89
STEELES AND YONGE LOOP,62,Steeles Ave West at Northwest Gate East Side,43.777721,-79.510466,fuzzy_86
TERMINAL 3 PEARSON A,63,6445 Airport Rd,43.692968,-79.627686,fuzzy_86
BLOOR AND GREEN LANES,64,Bloor St West at Islington Ave West Side,43.644636,-79.524308,fuzzy_86
COLLINSGROVE AND LAWRE,65,Lawrence Ave East at Collinsgrove Rd,43.769269,-79.182716,intersection_exact
EGLINTON W STATION,66,Victoria Park Ave at Eglinton Ave East North Side,43.725366,-79.302758,fuzzy_90
DAVISVILLE STATION,67,Davisville Station at Bus Bay 5,43.69763,-79.396868,fuzzy_95
REI AND WILSON STATION HEIGHTS,68,Wilson Station at Bus Bay 1A,43.734475,-79.45092,fuzzy_86
EGLINTON AND OAKWOOD,69,Eglinton Ave West at Oakwood Ave,43.697197,-79.442945,intersection_exact
SENECA AND WESTON,70,Weston Rd at Seneca Ave,43.680368,-79.475653,intersection_exact
ISLINGTON STATION AND STEELES,71,Steeles Ave West at Islington Ave,43.764537,-79.574602,intersection_exact
EGLINTON GARAGE,72,Eglinton Ave East at Pharmacy Ave,43.725855,-79.297171,fuzzy_86
SUNNYBROOK HOSPITAL,73,Raab Blvd at Hospital Rd West Side (K & L Wings),43.722578,-79.376201,fuzzy_86
CONNOR AND DON MILLS STATION,74,Don Mills Rd at Lawrence Ave East,43.736801,-79.34314,fuzzy_86
YORK MILLS STATION,75,York Mills Station at Bus Bay 7,43.745366,-79.406237,fuzzy_95
CONNER AND DON MILLS STATION,76,Don Mills Rd at Esterbrooke Ave,43.779239,-79.348996,fuzzy_86
JANE AND LAWRENCE STATION,77,Jane St at Lawrence Ave West,43.703114,-79.503968,intersection_exact
YORKDALE STATION,78,Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre,43.725083,-79.456993,fuzzy_90
KENNEDY STATION AND LAWRENCE,79,Kennedy Rd at Lawrence Ave East,43.749286,-79.274696,intersection_exact
HUMBER COLLEGE AND WEST,80,Steeles Ave West at Northwest Gate East Side,43.777721,-79.510466,fuzzy_86
FINCH AND KEELE STATION,81,Finch Ave West at Grantbrook St West Side,43.776224,-79.432093,fuzzy_86
LAWRENCE AND,83,Lawrence Ave West at Westona St East Side,43.69728,-79.526961,fuzzy_90
SIGNAL HIL AND STEELES,84,Steeles Ave West at Northwest Gate East Side,43.777721,-79.510466,fuzzy_86
EGLINTON AND JANE,85,Jane St at Courage Ave South Side,43.744734,-79.514671,fuzzy_86
WILSON STATION,86,Wilson,43.734547,-79.45079,exact
CHRISTIE STATION,87,Christie,43.664063,-79.418411,exact
EGLINTON AND KEELE,88,Keele St at Eglinton Ave West,43.689975,-79.474862,intersection_exact
DANFORTH,89,Danforth Rd at Landry Ave,43.694796,-79.276241,fuzzy_90
MILEPO AND THORNCLIFFE,90,Thorncliffe Park Dr (East) at Overlea Blvd,43.706926,-79.343188,fuzzy_86
SCARBOROUGH TOWN CENTR,91,Scarborough Centre Station at Bus Bay 4,43.774515,-79.257894,fuzzy_90
LAWRENCE AND WARDEN STATION,92,Lawrence Ave East at Ling Rd,43.769003,-79.18293,fuzzy_86
HUMBER LOOP,94,Albion Rd at Humberline Dr,43.746942,-79.621692,fuzzy_90
JANE STATION AND LAWRENCE,95,Jane St at Courage Ave South Side,43.744734,-79.514671,fuzzy_86
MILNER AND NEILSON,96,Neilson Rd at Milner Ave,43.795851,-79.216863,intersection_exact
ALNESS AND YORK UNIVER,97,,,,unmatched
EPIC LANE AND WILSON,98,Wilson Ave at Epic Lane Rd,43.72139,-79.506142,intersection_exact
ST PHILLIPS AND WESTON,99,St Phillips Rd at Weston Rd,43.70584,-79.532167,intersection_exact
LAWRENCE STATION AND PHARMACY,100,Lawrence Ave East at Pharmacy Ave,43.743114,-79.304898,intersection_exact
COXWELL STATION,101,Coxwell Station,43.68397,-79.322979,station_exact
BATHURST AND DAVENPORT,102,Bathurst St at Davenport Rd,43.676508,-79.415591,intersection_exact
COMMISSIONERS,103,Commissioners St at Logan Ave,43.651835,-79.337506,fuzzy_90
PIONNER VILLAGE STATIO,104,Pioneer Village Station Bus Bay 8,43.777064,-79.50966,fuzzy_95
DUFFERIN STATION AND FINCH,105,Finch Ave West at Dufferin St,43.768624,-79.467298,intersection_exact
DUFFERIN AND DUNDAS STATION,107,Dufferin St at Ramsden Rd South Side,43.695717,-79.450479,fuzzy_86
BLOOR AND SHERBOURNE STATION,108,Bloor St East at Sherbourne St,43.672463,-79.376704,intersection_exact
MILITARY TRAIL AND MOR,109,Military Trail at Morningside Ave,43.789009,-79.193257,fuzzy_90
OAKWOOD AND ST CLAIR,110,Oakwood Ave at St Clair Ave West,43.679864,-79.435844,intersection_exact
ELLESMERE AND MARKHAM,111,Ellesmere Rd at Markham Rd,43.776245,-79.232002,intersection_exact
GREENHOLM AND MARKHAM,112,Markham Rd at Greenholm Circt,43.762077,-79.226054,fuzzy_95
MAIN STATION,113,Kingston Rd at Manderley Dr,43.688668,-79.269367,fuzzy_68
ESTELLE AND FINCH,114,Finch Ave East at Estelle Ave,43.783865,-79.396432,intersection_exact
JANE STATION,115,Jane St at Courage Ave South Side,43.744734,-79.514671,fuzzy_90
MEADOWVALE AND SHEPPARD,116,Sheppard Ave East at Meadowvale Rd,43.80818,-79.171104,intersection_exact
LAWRENCE STATION AND PINE,117,Lawrence Ave West at Pine St,43.702096,-79.508129,intersection_exact
JANE AND WOOLNER,118,Jane St at Woolner Ave,43.671522,-79.493576,intersection_exact
DON MI AND FRESHMEADOW,119,Don Mills Rd at Esterbrooke Ave,43.779239,-79.348996,fuzzy_86
JANE AND WILLIAM CRAGG,120,Jane St at William Cragg Dr,43.72265,-79.509187,intersection_exact
LAWRENCE AND PINE,121,Lawrence Ave West at Pine St,43.702096,-79.508129,intersection_exact
COXWELL STATION AND SCARLETT,122,Scarlett Rd at Edinborough Crt North Side,43.672596,-79.503958,fuzzy_86
KIPLING STATION AND STEELES LOOP,123,Steeles Ave West at Jane St West Side,43.775471,-79.522085,fuzzy_86
SHEPPARD W AND WIL,124,Sheppard West Station at Bus Bay 7,43.749049,-79.462373,fuzzy_88
KENNEDY STATION AND PROGRESS,125,Kennedy Rd at Progress Ave,43.769265,-79.282028,intersection_exact
MARKHAM AND STEELES,126,Markham Rd at Steeles Ave East,43.836408,-79.250894,intersection_exact
KENNEDY AND LAWRENCE STATION,127,Kennedy Rd at Lawrence Ave East,43.749286,-79.274696,intersection_exact
BATHURST AND DREWRY,128,Bathurst St at Drewry Ave,43.780923,-79.444692,intersection_exact
PARLIAMENT AND WELLESLEY,129,Parliament St at Wellesley St East North Side,43.668507,-79.369582,fuzzy_86
OSSINGTON STATION,130,Ossington Station at Bus Bay 6,43.662437,-79.426176,fuzzy_95
14TH AND MARKHAM,132,Markham Rd at 14Th Ave,43.856591,-79.255581,intersection_exact
CHALKFARM AND JANE,133,Jane St at Courage Ave South Side,43.744734,-79.514671,fuzzy_86
ARGYLE AND OSSINGTON,134,Ossington Ave at Argyle St,43.646988,-79.419915,intersection_exact
LAWRENCE STATION W STATION,135,Lawrence Station,43.725178,-79.402124,station_exact
BATHURST STATION AND LAWRENCE,137,Bathurst St at Lawrence Ave West,43.719105,-79.42961,intersection_exact
WILSON STATION YARD,138,Wilson,43.734547,-79.45079,exact
LAWRENCE AND MCCOWAN STATION,140,Lawrence Ave East at Crockford Blvd,43.745931,-79.291536,fuzzy_86
DUFFERIN AND EGLINTON,141,Dufferin St at Eglinton Ave West,43.695556,-79.450105,intersection_exact
STEELES AND YONGE,142,Yonge St at Steeles Ave East,43.797883,-79.419843,intersection_exact
COXWELL STATION AND DANFORTH,143,Danforth Ave at Coxwell Ave,43.683222,-79.323734,intersection_exact
INGRAM AND KEELE,144,Keele St at Ingram Dr,43.699279,-79.475771,intersection_exact
MARTIN GROVE AND THE W,145,Lawrence Ave West at Westona St East Side,43.69728,-79.526961,fuzzy_86
JANE STATION AND WILSON,146,Jane St at Courage Ave South Side,43.744734,-79.514671,fuzzy_86
SHEPPARD STATION,148,Sheppard Ave West at Harlock Blvd,43.753826,-79.445872,fuzzy_90
SHEPPARD W STATION,149,Sheppard West Station at Bus Bay 7,43.749049,-79.462373,fuzzy_95
MARKHAM EG,150,Markham Rd at New Delhi Dr,43.847625,-79.253436,fuzzy_86
MARKHAM AND SHEPPARD,151,Markham Rd at Sheppard Ave East,43.793604,-79.238418,intersection_exact
EGLINTON AND WESTON,152,Eglinton Ave West at Weston Rd,43.686765,-79.489821,intersection_exact
RIVALDA AND SHEPPARD,153,Sheppard Ave West at Rivalda Rd,43.73481,-79.533737,intersection_exact
HIGH MEADOW AND SIGNET,155,Signet Dr at High Meadow Pl,43.755553,-79.537291,fuzzy_95
CLEANSIDE AND WARDEN,156,Warden Ave at Apple Creek Blvd,43.860065,-79.33516,fuzzy_86
LAWRENCE AND MARKHAM,157,Lawrence Ave East at Markham Rd,43.759631,-79.225553,intersection_exact
ROYAL YORK STATION,158,Royal York Station at Bus Bay 1,43.648338,-79.511178,fuzzy_95
ARROW GARAGE,159,Arrow Rd at Finch Ave West,43.753006,-79.535911,fuzzy_86
DON MILLS AND GATEWAY,160,Don Mills Rd at Gateway Blvd,43.71453,-79.336562,intersection_exact
DON MILLS STATION AND OVERLEA,161,Don Mills Rd at The Donway East (South) North Side,43.732636,-79.342026,fuzzy_86
EGLINTON STATION 97,162,Eglinton Station at Bus Bay 7,43.705532,-79.399237,fuzzy_90
SHERBOURNE STATION AND WELLESLEY,163,Wellesley St East at Sherbourne St,43.667166,-79.374485,intersection_exact
SCARBOROUGH CENTRE STATIO,165,Scarborough Centre Station at Bus Bay 8,43.774373,-79.257735,fuzzy_95
KENNEDY AND PERTHSHIRE,166,Kennedy Rd at Perthshire St,43.809073,-79.300661,intersection_exact
CRESCENT AND VICTORIA,168,Victoria Park Ave at Tempo Ave,43.806522,-79.337577,fuzzy_86
JOHN AND WESTON,169,Weston Rd at Gunns Rd South Side,43.675541,-79.470205,fuzzy_86
PIONEER VILLAGESTATION,170,Pioneer Village Station Bus Bay 3,43.776747,-79.509208,fuzzy_77
MILITA AND MORNINGSIDE,171,Morningside Ave at Sewells Rd North Side,43.816633,-79.21143,fuzzy_86
MILTAR AND MORNINGSIDE,172,Morningside Ave at Sewells Rd North Side,43.816633,-79.21143,fuzzy_86
ST CLAIR STATION AND WARDEN,173,St Clair Ave East at Warden Ave,43.711871,-79.281313,intersection_exact
JANE AND YEWTREE,174,Jane St at Courage Ave South Side,43.744734,-79.514671,fuzzy_86
EVANS AND KIPLING STATION,175,Kipling Ave at Birmingham St,43.600828,-79.518202,fuzzy_86
DUFFERIN AND GLENGROVE,177,Dufferin St at Glengrove Ave,43.709102,-79.453783,intersection_exact
KINGSTON AND MARKHAM,178,Markham Rd at Kingston Rd,43.738896,-79.2173,intersection_exact
EGLINTON AND ENNERDALE,179,Eglinton Ave West at Ennerdale Rd,43.694868,-79.453583,intersection_exact
FINCH STATION W STATION,180,Finch Station - Subway Platform,43.780847,-79.415291,station_exact
MCCOWAN AND NUGGET,181,McCowan Rd at Nugget Ave,43.792208,-79.260059,intersection_exact
KINGSTON AND RYLANDER,182,Kingston Rd at Rylander Blvd,43.796887,-79.149251,intersection_exact
SHERBOURNE STATION,183,Sherbourne,43.672104,-79.37616,exact
WOODBINE STATION,184,Woodbine,43.686546,-79.312683,exact
EGLINTON AND OLD PARK,185,Eglinton Ave West at Old Park Rd,43.699957,-79.430662,intersection_exact
ELLESMERE AND MEADOWVA,186,Ellesmere Rd at Military Trail (West),43.779894,-79.217004,fuzzy_86
MCCOWAN AND MILNER,187,McCowan Rd at Milner Ave,43.78552,-79.256738,intersection_exact
BATHURST STATION AND WILSON,188,Bathurst St at Wilson Ave,43.737188,-79.433814,intersection_exact
DIXON AND SKYWAY,189,Dixon Rd at Skyway Ave,43.687734,-79.587111,intersection_exact
DUFFERIN STATION GATE LOOP,192,Dufferin Gate Loop,43.634401,-79.425872,exact
MCNICOLL AND PHARMACY,193,McNicoll Ave at Pharmacy Ave,43.804256,-79.330498,intersection_exact
GATEFORTH AND SHEPPARD,194,Sheppard Ave East at Gateforth Dr,43.795461,-79.230553,intersection_exact
EGLINTON AND MARKHAM,195,Markham Rd at Eglinton Ave East,43.74298,-79.21863,intersection_exact
MCNICOLL AND TAPSCOTT,196,Tapscott Rd at McNicoll Ave,43.826054,-79.243336,intersection_exact
MORNINGSIDE AND NIGHTS,197,Morningside Ave at Sewells Rd North Side,43.816633,-79.21143,fuzzy_86
BRADSTOCK AND WESTON,198,Weston Rd at Bradstock Rd,43.738874,-79.539217,intersection_exact
DON MILLS AND FINCH STATION,199,Finch Ave East at Don Mills Rd,43.79247,-79.355044,intersection_exact
MORNINGSIDE AND PASSMO,200,Morningside Ave at Staines Rd North Side,43.819734,-79.221875,fuzzy_86
MCCOWAN STATION AND SHEPPARD,201,Sheppard Ave East at Breckon Gate,43.80027,-79.20723,fuzzy_86
MURRAY AND WILSON,202,Wilson Ave at Murray Rd,43.729711,-79.471403,intersection_exact
FINCH AND KENNEDY STATION,203,Finch Ave East at Kennedy Rd,43.801487,-79.29616,intersection_exact
HENRIETT AND RUNNYMEDE,205,St Clair Ave West at Runnymede Rd West Side,43.66887,-79.484326,fuzzy_86
SURR AND VICTORIA PARK,206,Victoria Park Station at Bus Bay 5,43.694476,-79.288705,fuzzy_88
LAWRENCE AND WESTON,207,Lawrence Ave West at Weston Rd,43.699921,-79.516784,intersection_exact
BAYVIEW AND STEELES,209,Steeles Ave East at Bayview Ave,43.802916,-79.39735,intersection_exact
AIRPORT AND ALBION,210,Albion Rd at Riverdale Dr,43.735283,-79.561541,fuzzy_86
MURRAY ROSS AND S,211,Murray Ross Pkwy at Haynes Ave,43.765622,-79.497611,fuzzy_86
BATHURST AND FINCH STATION,212,Bathurst St at Finch Ave West,43.773623,-79.44272,intersection_exact
BAY AND FRONT,213,Front St West at Bay St,43.64617,-79.37883,intersection_exact
ROGERS AND WESTON,214,Weston Rd at Rogers Rd,43.681291,-79.476257,intersection_exact
CROW TRAIL AND NEILSON,215,Neilson Rd at Crow Trail,43.812353,-79.225946,intersection_exact
EGLINTON AND YONGE,216,Eglinton Ave W at Yonge St,43.706643,-79.398574,intersection_exact
PRINCESS GATE,217,,,,unmatched
FINCH AND YONGE,218,Yonge St at Finch Ave East,43.779588,-79.415334,intersection_exact
AUKLAND AND DUNDAS STATION,219,Cordova Ave at Dundas St West South Side,43.648526,-79.528396,fuzzy_86
BATHURST AND LAWRENCE STATION,220,Bathurst St at Lawrence Ave West,43.719105,-79.42961,intersection_exact
STEELES LOOP,221,Steeles Ave East at Tarbert Rd,43.804084,-79.392106,fuzzy_90
QUEEN STATION QUAY AND YONGE,222,Yonge St at Steeles Ave West South Side,43.79729,-79.42005,fuzzy_86
MEADOWVALE LOOP,223,Ellesmere Rd at Meadowvale Rd,43.792312,-79.163843,fuzzy_90
STEELES AND WARDEN STATION LOOP,224,Warden Ave at Apple Creek Blvd,43.860065,-79.33516,fuzzy_86
OVERLEA AND THORNCLIFFE,225,Thorncliffe Park Dr at Milepost Pl,43.703301,-79.346929,fuzzy_86
WILSON STATION GARAGE,226,Wilson,43.734547,-79.45079,exact
DON MILLS STATION,227,Don Mills Station - Subway Platform,43.775547,-79.346584,station_exact
MORNINGSIDE AND STAINE,228,Morningside Ave at Staines Rd North Side,43.819734,-79.221875,fuzzy_86
BARMAC AND ORMONT,229,Barmac Dr at Ormont Dr,43.764464,-79.553385,intersection_exact
BATHURST STATION AND FINCH,230,Bathurst St at Finch Ave West,43.773623,-79.44272,intersection_exact
RIDLEY AND WILSON,231,Wilson Ave at Ridley Blvd,43.739512,-79.423604,intersection_exact
PAPE STATION,232,Pape Ave at Bain Ave,43.673043,-79.342537,fuzzy_90
DOLLY VA AND ELLESMERE,233,Ellesmere Rd at Borough Approach East,43.771125,-79.255707,fuzzy_86
EVANS AND ISLINGTON STATION,234,Islington Ave at Evans Ave,43.618201,-79.510979,intersection_exact
BLOOR AND SHERBOURNE,236,Bloor St East at Sherbourne St,43.672463,-79.376704,intersection_exact
MORNINGSIDE AND SHEPPARD,237,Sheppard Ave East at Morningside Ave,43.801751,-79.200009,intersection_exact
MARKHAM AND PROGRESS,238,Markham Rd at Progress Ave,43.781634,-79.233561,intersection_exact
MILL LOOP,239,St Phillips Rd at Weston Rd,43.70584,-79.532167,fuzzy_68
DEAUVILL AND ST DENNIS,240,Eglinton Ave West at Yonge St West Side,43.706695,-79.398956,fuzzy_86
BLOOR AND MILL,241,Bloor St West at Mill Rd,43.6323,-79.574706,intersection_exact
NEILSON AND SEWELLS,243,Neilson Rd at Sewells Rd,43.806417,-79.218347,intersection_exact
FAYWOOD AND SHEPPARD,244,Sheppard Ave West at Faywood Blvd,43.752518,-79.452096,intersection_exact
SHEP AND VICTORIA PARK,245,Victoria Park Station at Bus Bay 5,43.694476,-79.288705,fuzzy_88
LAWRENCE AND SCARLETT,246,Lawrence Ave West at Scarlett Rd,43.698042,-79.523367,intersection_exact
MARKHAM AND NUGGET,247,Markham Rd at Nugget Ave,43.79875,-79.241345,intersection_exact
KEELE STATION AND WILSON,248,Keele St at Glenlake Ave,43.658146,-79.461353,fuzzy_86
TAPSCOTT AND WASHBURN,249,,,,unmatched
BRIAN AND VAN HORNE,250,Brian Ave at Van Horne Ave,43.787739,-79.334818,intersection_exact
LAWRENCE AND SHERMOUNT,251,Lawrence Ave West at Shermount Ave,43.716859,-79.441035,intersection_exact
ELLESMERE AND MCCOWAN STATION,252,Ellesmere Rd at McCowan Rd,43.77237,-79.251159,fuzzy_95
SCARBOROUGH CENTRE,253,Scarborough Centre,43.774647,-79.257286,exact
ELLESMERE AND KENNEDY STATION,255,Ellesmere Rd at Kennedy Rd,43.766017,-79.28076,intersection_exact
EVANS AND KIPLING,256,Kipling Ave at Evans Ave,43.616013,-79.524922,intersection_exact
PARK AND WESTON,257,Weston Rd at Gunns Rd South Side,43.675541,-79.470205,fuzzy_86
YONGE,258,Davisville Ave at Yonge St,43.698505,-79.395939,fuzzy_90
JANE AND SHOREHAM,259,Jane St at Shoreham Dr,43.76892,-79.520536,intersection_exact
HOLGATE AND ISLINGTON,260,Islington Ave at Holgate St,43.684737,-79.541305,intersection_exact
ALBION AND WALSH,261,Weston Rd at Walsh Ave,43.716396,-79.537036,fuzzy_86
MCNICOLL GARAGE,263,McNicoll Ave at Victoria Park Ave,43.803924,-79.336632,fuzzy_86
MORNINGVIEW TRAIL,264,Morningside Ave at Morningview Trail,43.813343,-79.206063,fuzzy_90
CARRIER AL,266,Opposite 225 Carrier Dr,43.749175,-79.615811,fuzzy_86
VAN AND VICTORIA PARK,268,Victoria Park Station at Bus Bay 5,43.694476,-79.288705,fuzzy_88
KIPLING AND THE QUEEN STATION,269,,,,unmatched
DUNDAS STATION AND RUNNYMEDE,270,Dundas St West at Old Oak Dr East Side,43.657008,-79.519699,fuzzy_86
OAKWOOD AND VAUGHAN,271,Oakwood Ave at Vaughan Rd,43.692326,-79.440768,intersection_exact
DUFFERIN AND LAWRENCE STATION,272,Dufferin St at Lawrence Ave West,43.714241,-79.454916,intersection_exact
DON MILLS AND LEITH HI,273,Don Mills Rd at Esterbrooke Ave,43.779239,-79.348996,fuzzy_86
BAYVIEW STATION,274,Bayview station,43.766721,-79.386315,station_exact
MCCOWAN AND SANDHURST,275,McCowan Rd at Steeles Ave East North Side,43.83177,-79.2752,fuzzy_86
DON MIL AND YORK MILLS,276,York Mills Rd at Hedgewood Rd East Side,43.744875,-79.398732,fuzzy_86
FARMVIEW CRESCENT,277,East Ave at Maberley Cres (South),43.782525,-79.132461,fuzzy_86
BEECROFT AND SHEPPARD,278,Sheppard Ave West at Harlock Blvd,43.753826,-79.445872,fuzzy_86
ST CLAIR STATION,280,St Clair,43.687748,-79.392586,exact
DUFFERIN AND SPRINGHUR,282,Dufferin St at Springhurst Ave,43.635014,-79.425934,intersection_exact
DUNDAS STATION W STATION,283,Dundas West Station at Bus Bay 2,43.656975,-79.453099,fuzzy_95
NEW GALE GATE AND TAPS,284,,,,unmatched
BATHURST AND WILSON STATION,285,Bathurst St at Wilson Ave,43.737188,-79.433814,intersection_exact
O CONNOR AND ST CLAIR,286,Bathurst St at Wilson Ave South Side,43.736782,-79.43401,fuzzy_86
STEELES LOOP AND YONGE,287,Steeles Ave East at Tarbert Rd,43.804084,-79.392106,fuzzy_86
CHAPLIN AND YONGE,288,Davisville Ave at Yonge St,43.698505,-79.395939,fuzzy_86
MARTIN GROVE AND STEELES,289,Steeles Ave West at Martin Grove Rd,43.758023,-79.60324,intersection_exact
WILLIAM CARS AND YONGE,290,Yonge St at York Mills Rd North Side - York Mills Station,43.744863,-79.40666,fuzzy_86
UNIVERITY OF TORONTO,291,University of Toronto Scarborough,43.784547,-79.184915,fuzzy_86
BATHURST AND GLENCAIRN STATION,292,Bathurst St at Glencairn Ave,43.712484,-79.428276,fuzzy_95
BOWIE AND DUFFERIN,293,Dufferin St at Bowie Ave,43.698016,-79.451269,intersection_exact
ROYAL YORK AND YORKLEI,294,Royal York Rd at Darlingbrook Cres South Side,43.670934,-79.521782,fuzzy_86
LAKE SHORE AND SAULTER,295,Carlaw Ave at Lake Shore Blvd East,43.655953,-79.338049,fuzzy_86
DUFFERIN AND WILSON STATION,298,Wilson Ave at Dufferin St,43.731854,-79.459521,intersection_exact
DANFORTH AND WARDEN,299,Danforth Rd at Warden Ave,43.696759,-79.274854,intersection_exact
LAWRENCE AND RALPH,300,Lawrence Ave West at Westona St East Side,43.69728,-79.526961,fuzzy_86
BELLAMY AND ELLESMERE,301,Ellesmere Rd at Bellamy Rd North,43.774149,-79.241959,intersection_exact
BATHURST AND DUPONT STATION,302,Bathurst St at Dupont St,43.67305,-79.41422,fuzzy_95
ARROW AND FINCH STATION,303,Arrow Rd at Finch Ave West,43.753006,-79.535911,intersection_exact
PHARMACY AND SHEPPARD,304,Sheppard Ave East at Pharmacy Ave,43.776351,-79.31788,intersection_exact
